 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd,, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, min_seg_size_forward, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8695,63,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8690,17,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8694,123,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57683,4,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57662,4,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54864,49,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,351,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57680,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,377,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60954,46,1,1,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,1,0,0,1,32,0,0,0,0,0,0,1,0,1,0,340,229,0,32,0,0,0,32,32,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57681,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,424,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55270,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55271,251170,3,0,18,0,6,6,0,0,0,0,60,0,0,0,0,0,1,1,0,0,0,60,0,0,0,0,0,0,3,18,0,0,351,-1,2,20,0,0,0,60,0,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57674,49,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50485,62,1,1,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,1,0,0,1,32,0,0,0,0,0,0,1,0,1,0,378,558,0,32,0,0,0,32,32,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57686,175,2,1,12,6,6,6,0,0,0,0,40,20,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,1,6,360,255,1,20,0,0,0,40,20,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33666,37,1,1,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,1,0,0,1,32,0,0,0,0,0,0,1,0,1,0,340,586,0,32,0,0,0,32,32,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8883,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,40929,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8884,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,40929,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55245,96,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,16384,256,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55150,1,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,5574,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55043,0,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55040,48,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55039,1,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55043,999588,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55039,75,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,0,0,0,1,20,0,0,0,0,0,0,1,6,1,6,4737,63668,0,20,0,0,0,20,20,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55040,32,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,0,0,0,1,20,0,0,0,0,0,0,1,6,1,6,4737,64189,0,20,0,0,0,20,20,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,71693,2,2,74,176,37,37,0,0,0,0,40,64,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,2,74,2,176,-1,-1,1,20,0,0,0,40,64,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,60738,2,2,74,200,37,37,0,0,0,0,40,40,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,2,74,2,200,-1,-1,1,20,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,126188,20,25,176,440,43,0,0,0,0,0,656,816,0,0,0,1,0,0,0,0,1,656,0,0,0,0,0,0,20,176,25,440,29200,227,12,32,0,0,0,656,816,0,0,0,1,0,0,0,0,0,0,1,0,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34805,8003,15,6,19897,0,2896,0,0,0,0,0,496,208,0,0,0,1,0,0,0,0,0,496,0,0,0,0,0,0,15,19897,6,0,29200,362,10,32,0,0,0,496,208,0,0,0,1,0,0,0,0,0,0,1,0,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34805,1,2,0,617,0,617,0,1,0,0,0,64,0,0,1,0,0,1,0,0,0,0,64,0,0,0,0,0,0,2,617,0,0,229,-1,0,32,0,0,0,64,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,50,1,2,0,0,0,0,0,0,0,0,32,64,0,0,0,0,1,1,0,0,2,32,0,0,0,0,0,0,1,0,2,0,229,227,0,32,0,0,0,32,64,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,75,3,1,4,4,4,0,1,0,0,0,96,32,0,1,0,0,1,0,0,0,0,96,0,0,0,0,0,0,3,4,1,4,302,302,0,32,0,0,0,96,32,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,208,4,0,46,0,46,0,0,0,0,0,128,0,0,0,0,0,1,0,0,0,0,128,0,0,0,0,0,0,4,46,0,0,306,-1,1,32,0,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,514004,3,1,0,6,0,0,0,0,0,0,96,20,0,0,0,0,1,1,0,0,0,96,0,0,0,0,0,0,3,0,1,6,1444,0,0,32,0,0,0,96,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
